FECHA,ANO,MES,TRM,DIA,NOMBRE_MES,PETROLEO
2008-01-02,2008,1,2014.76,2,Enero,99.62
2008-01-03,2008,1,2012.82,3,Enero,99.18
2008-01-04,2008,1,2013.27,4,Enero,97.91
2008-01-07,2008,1,2013.98,7,Enero,95.09
2008-01-08,2008,1,2013.98,8,Enero,96.33
2008-01-09,2008,1,2000.91,9,Enero,95.67
2008-01-10,2008,1,2004.7,10,Enero,93.71
2008-01-11,2008,1,2003.74,11,Enero,92.69
2008-01-14,2008,1,1985.35,14,Enero,94.2
2008-01-15,2008,1,1949.43,15,Enero,91.9
2008-01-16,2008,1,1948.91,16,Enero,90.84
2008-01-17,2008,1,1960.49,17,Enero,90.13
2008-01-18,2008,1,1947.6,18,Enero,90.57
2008-01-22,2008,1,1968.13,22,Enero,89.85
2008-01-23,2008,1,2007.41,23,Enero,86.99
2008-01-24,2008,1,2005.08,24,Enero,89.41
2008-01-25,2008,1,1970.65,25,Enero,90.71
2008-01-28,2008,1,1961.3,28,Enero,90.99
2008-01-29,2008,1,1969.65,29,Enero,91.64
2008-01-30,2008,1,1946.54,30,Enero,92.33
2008-01-31,2008,1,1939.6,31,Enero,91.75
2008-02-01,2008,2,1939.77,1,Febrero,88.96
2008-02-04,2008,2,1921.94,4,Febrero,90.02
2008-02-05,2008,2,1917.26,5,Febrero,88.41
2008-02-06,2008,2,1928.3,6,Febrero,87.14
2008-02-07,2008,2,1929.7,7,Febrero,88.11
2008-02-08,2008,2,1935.49,8,Febrero,91.77
2008-02-11,2008,2,1923.08,11,Febrero,93.59
2008-02-12,2008,2,1912.8,12,Febrero,92.78
2008-02-13,2008,2,1901.38,13,Febrero,93.27
2008-02-14,2008,2,1898.4,14,Febrero,95.46
2008-02-15,2008,2,1894.87,15,Febrero,95.5
2008-02-19,2008,2,1905.37,19,Febrero,100.01
2008-02-20,2008,2,1890.74,20,Febrero,100.74
2008-02-21,2008,2,1910.81,21,Febrero,98.23
2008-02-22,2008,2,1895.85,22,Febrero,98.81
2008-02-25,2008,2,1892,25,Febrero,99.23
2008-02-26,2008,2,1887.97,26,Febrero,100.88
2008-02-27,2008,2,1879.19,27,Febrero,99.64
2008-02-28,2008,2,1854.87,28,Febrero,102.59
2008-02-29,2008,2,1843.59,29,Febrero,101.84
2008-03-03,2008,3,1845.17,3,Marzo,102.45
2008-03-04,2008,3,1849.46,4,Marzo,99.52
2008-03-05,2008,3,1841.61,5,Marzo,104.52
2008-03-06,2008,3,1856.69,6,Marzo,105.47
2008-03-07,2008,3,1880.12,7,Marzo,105.15
2008-03-10,2008,3,1902.17,10,Marzo,107.9
2008-03-11,2008,3,1864.78,11,Marzo,108.75
2008-03-12,2008,3,1865.98,12,Marzo,109.92
2008-03-13,2008,3,1853.41,13,Marzo,110.33
2008-03-14,2008,3,1856.01,14,Marzo,110.21
2008-03-17,2008,3,1843.95,17,Marzo,105.68
2008-03-18,2008,3,1857.55,18,Marzo,109.42
2008-03-19,2008,3,1823.11,19,Marzo,104.48
2008-03-20,2008,3,1815.65,20,Marzo,101.84
2008-03-24,2008,3,1815.65,24,Marzo,100.86
2008-03-25,2008,3,1815.65,25,Marzo,101.22
2008-03-26,2008,3,1835.01,26,Marzo,105.9
2008-03-27,2008,3,1821.31,27,Marzo,107.58
2008-03-28,2008,3,1810.68,28,Marzo,105.62
2008-03-31,2008,3,1821.6,31,Marzo,101.58
2008-04-01,2008,4,1834.96,1,Abril,100.98
2008-04-02,2008,4,1827.94,2,Abril,104.83
2008-04-03,2008,4,1826.34,3,Abril,103.83
2008-04-04,2008,4,1824.39,4,Abril,106.23
2008-04-07,2008,4,1816.28,7,Abril,109.09
2008-04-08,2008,4,1811.23,8,Abril,108.5
2008-04-09,2008,4,1812.85,9,Abril,110.87
2008-04-10,2008,4,1799.07,10,Abril,110.11
2008-04-11,2008,4,1791.63,11,Abril,110.14
2008-04-14,2008,4,1792.49,14,Abril,111.76
2008-04-15,2008,4,1792.69,15,Abril,113.79
2008-04-16,2008,4,1797.89,16,Abril,114.93
2008-04-17,2008,4,1798.89,17,Abril,114.86
2008-04-18,2008,4,1792.87,18,Abril,116.69
2008-04-21,2008,4,1785.17,21,Abril,117.48
2008-04-22,2008,4,1780.79,22,Abril,119.37
2008-04-23,2008,4,1775.08,23,Abril,118.3
2008-04-24,2008,4,1765.3,24,Abril,116.06
2008-04-25,2008,4,1765.75,25,Abril,118.52
2008-04-28,2008,4,1775.22,28,Abril,118.75
2008-04-29,2008,4,1767.73,29,Abril,115.63
2008-04-30,2008,4,1780.21,30,Abril,113.46
2008-05-01,2008,5,1767.27,1,Mayo,112.52
2008-05-02,2008,5,1767.27,2,Mayo,116.32
2008-05-05,2008,5,1756.25,5,Mayo,119.97
2008-05-06,2008,5,1756.25,6,Mayo,121.84
2008-05-07,2008,5,1769.32,7,Mayo,123.53
2008-05-08,2008,5,1787.62,8,Mayo,123.69
2008-05-09,2008,5,1793.13,9,Mayo,125.96
2008-05-12,2008,5,1781.79,12,Mayo,124.23
2008-05-13,2008,5,1781.29,13,Mayo,125.8
2008-05-14,2008,5,1780.01,14,Mayo,124.22
2008-05-15,2008,5,1787.65,15,Mayo,124.12
2008-05-16,2008,5,1792.94,16,Mayo,126.29
2008-05-19,2008,5,1785.04,19,Mayo,127.05
2008-05-20,2008,5,1779.35,20,Mayo,129.07
2008-05-21,2008,5,1787.59,21,Mayo,133.17
2008-05-22,2008,5,1779.48,22,Mayo,130.81
2008-05-23,2008,5,1779.59,23,Mayo,132.19
2008-05-27,2008,5,1777.98,27,Mayo,128.85
2008-05-28,2008,5,1772.55,28,Mayo,131.03
2008-05-29,2008,5,1767.41,29,Mayo,126.62
2008-05-30,2008,5,1755.95,30,Mayo,127.35
2008-06-02,2008,6,1744.01,2,Junio,127.76
2008-06-03,2008,6,1744.01,3,Junio,124.31
2008-06-04,2008,6,1730.61,4,Junio,122.3
2008-06-05,2008,6,1728.76,5,Junio,127.79
2008-06-06,2008,6,1709.95,6,Junio,138.54
2008-06-09,2008,6,1702.44,9,Junio,134.35
